country,word_embotellamiento,word_tapón,word_trancadera,word_taco,word_trancón,word_presa,word_tranque,word_trabazón,word_tranque,word_tranca,NONE
ARG,embotellamiento,,,,,,,,,,
GTM,embotellamiento,,,,,,,,,,
HON,embotellamiento,,,,,,,,,,
MEX,embotellamiento,,,,,,,,,,
NIC,embotellamiento,,,,,,,,,,
PRY,embotellamiento,,,,,,,,,,
URY,embotellamiento,,,,,,,,,,
DOM,,tapón,,,,,,,,,
PRI,,tapón,,,,,,,,,
BOL,,,trancadera,,,,,,,,
CHL,,,,taco,,,,,,,
COL,,,,,trancón,,,,,,
CRI,,,,,,presa,,,,,
CUB,,,,,,,tranque,,,,
SLV,,,,,,,,trabazón,,,
PAN,embotellamiento,,,,,,,,tranque,,
VEN,,,,,,,,,,tranca,
PER,,,,,,,,,,,NONE
ECU,,,,,,,,,,,NONE
